Name,Tons Delivered,Tons Sold,Method,CDR_Link,Company_Link
Alt Carbon,0,21 851,Enhanced Weathering,https://www.cdr.fyi/supplier/alt-carbon,https://www.alt-carbon.com/
Heimdal,0,30,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/heimdal,https://www.heimdalccu.com/
RepAir,0,199,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/repair,https://repair-carbon.com/
Bio-Logical,0,12 633,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bio-logical,https://www.bio-logical.green/
Carbon To Stone,0,1 444,Enhanced Weathering,https://www.cdr.fyi/supplier/carbon-to-stone,https://carbontostone.com/
Restord Ltd,0,50,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restord,https://www.restord.earth/
Tambora Carbon Removal,0,4 440,Enhanced Weathering,https://www.cdr.fyi/supplier/tambora,https://www.tambora.asia/
Capture6,0,1 063,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/capture6,https://capture6.org/
Seaweed Generation,0,0,Marine Biomass Sinking,https://www.cdr.fyi/supplier/seaweed-generation,http://www.seaweedgeneration.com
Hafslund Celsio,0,99 998,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/hafslund-celsio,https://www.hafslund.no/no
Towing,0,210,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/towing,https://towing.co.jp/
Inherit Carbon Solutions,0,68 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/inherit-carbon-solutions,https://www.inheritcarbonsolutions.com/
BioCirc,0,1 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/biocirc,https://biocirc.com/
Carbonity,0,36 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbonity,https://www.suez.com/
Silica,0,1 266,Enhanced Weathering,https://www.cdr.fyi/supplier/silica,https://www.silica.earth/
CREW,0,72 492,Enhanced Weathering,https://www.cdr.fyi/supplier/crew,https://www.crewcarbon.com/
Ebb Carbon,0,1 589,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/ebb,https://www.ebbcarbon.com/
280 Earth,0,61 571,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/280-earth,https://www.280.earth
ARC,0,90,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/arc,https://a-r-c.dk/
Calcite by 8 Rivers Capital & Origen,0,278,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/calcite-origen,8rivers.com/portfolio/calcite
CarbonBlue,0,400,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/carbonblue,https://carbonblue.cc/
Travertine,0,365,Enhanced Weathering,https://www.cdr.fyi/supplier/travertine,https://www.travertinetech.com/
Gigablue,0,200 000,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/gigablue,https://www.gigablue.co/
Carba,0,44 000,Biomass Direct Storage,https://www.cdr.fyi/supplier/carba,https://www.carba.com/
